"title","state","description","value","workers_risk","workers_total","risk_level","workers_risk_level","idhm","pib"
"SOMBRIO","SC","SOMBRIO / SC","0.33","2245","6852","4","4","0.728","25286.14"
"TAIÓ","SC","TAIÓ / SC","0.27","1412","5159","5","5","0.761","31407.39"
"TIJUCAS","SC","TIJUCAS / SC","0.3","3887","13062","4","3","0.76","39711.53"
"TIMBÓ","SC","TIMBÓ / SC","0.23","3965","16909","5","3","0.784","42803.22"
"TRÊS BARRAS","SC","TRÊS BARRAS / SC","0.19","996","5234","5","5","0.706","54489.79"
"TUBARÃO","SC","TUBARÃO / SC","0.36","13211","36671","3","1","0.796","33649.56"
"URUSSANGA","SC","URUSSANGA / SC","0.22","1384","6268","5","5","0.772","37504.97"
"VIDEIRA","SC","VIDEIRA / SC","0.26","5274","20472","5","3","0.764","42364.49"
"XANXERÊ","SC","XANXERÊ / SC","0.39","5552","14134","2","3","0.775","32237.14"
"XAXIM","SC","XAXIM / SC","0.23","2354","10449","5","4","0.752","32943.06"
"ARACAJU","SE","ARACAJU / SE","0.5","97601","195775","1","1","0.77","25185.55"
"ESTÂNCIA","SE","ESTÂNCIA / SE","0.39","3735","9456","2","3","0.647","23584.37"
"ITABAIANA","SE","ITABAIANA / SE","0.46","6869","14999","1","2","0.613","11180.86"
"LAGARTO","SE","LAGARTO / SE","0.39","4620","11864","2","3","0.625","14458.87"
"LARANJEIRAS","SE","LARANJEIRAS / SE","0.2","1239","6121","5","5","0.642","31185.77"
"NOSSA SENHORA DO SOCORRO","SE","NOSSA SENHORA DO SOCORRO / SE","0.33","6265","19111","4","2","0.664","14276.47"
"SÃO CRISTÓVÃO","SE","SÃO CRISTÓVÃO / SE","0.44","5657","12983","2","2","0.662","10196.55"
"ARAGUAÍNA","TO","ARAGUAÍNA / TO","0.41","13480","32998","2","1","0.752","22809.80"
"GURUPI","TO","GURUPI / TO","0.4","5878","14634","2","2","0.759","25209.50"
"PALMAS","TO","PALMAS / TO","0.56","70291","126321","1","1","0.788","28754.00"
"PARAÍSO DO TOCANTINS","TO","PARAÍSO DO TOCANTINS / TO","0.36","3048","8482","3","4","0.764","23756.02"
"PORTO NACIONAL","TO","PORTO NACIONAL / TO","0.39","3254","8348","2","3","0.74","49738.85"
