"title","state","description","impact_percentage","workers_total","workers_risk","workers_risk_percentage","risk_level","workers_risk_level","idhm","pib"
"JACIARA","MT","JACIARA / MT","0.51","6984","1942","0.28","5","5","0.735","937221.00"
"JUARA","MT","JUARA / MT","0.52","6847","2247","0.33","5","4","0.682","787092.00"
"JUÍNA","MT","JUÍNA / MT","0.55","8541","3150","0.37","3","4","0.716","1020697.00"
"LUCAS DO RIO VERDE","MT","LUCAS DO RIO VERDE / MT","0.54","23440","6925","0.3","4","2","0.768","3720050.00"
"NOVA MUTUM","MT","NOVA MUTUM / MT","0.53","13523","4563","0.34","4","3","0.758","2783981.00"
"PARANATINGA","MT","PARANATINGA / MT","0.51","5127","1505","0.29","5","5","0.667","769746.00"
"PONTES E LACERDA","MT","PONTES E LACERDA / MT","0.53","9917","3265","0.33","4","3","0.703","1188803.00"
"PRIMAVERA DO LESTE","MT","PRIMAVERA DO LESTE / MT","0.54","21118","7136","0.34","4","2","0.752","3490426.00"
"RONDONÓPOLIS","MT","RONDONÓPOLIS / MT","0.55","57951","19243","0.33","3","1","0.755","9598522.00"
"SAPEZAL","MT","SAPEZAL / MT","0.49","11278","2714","0.24","5","4","0.732","2516824.00"
"SINOP","MT","SINOP / MT","0.55","38619","14063","0.36","3","1","0.754","5626287.00"
"SORRISO","MT","SORRISO / MT","0.53","24792","8295","0.33","4","2","0.744","5731413.00"
"TANGARÁ DA SERRA","MT","TANGARÁ DA SERRA / MT","0.54","23128","8087","0.35","4","2","0.729","3014931.00"
"VÁRZEA GRANDE","MT","VÁRZEA GRANDE / MT","0.55","46590","14998","0.32","3","1","0.571","30918.00"
"ABAETETUBA","PA","ABAETETUBA / PA","0.6","10481","5676","0.54","1","2","0.628","1337194.00"
"ALTAMIRA","PA","ALTAMIRA / PA","0.57","16242","6473","0.4","2","2","0.665","2500591.00"
"ANANINDEUA","PA","ANANINDEUA / PA","0.58","65309","29281","0.45","1","1","0.718","6979135.00"
"BARCARENA","PA","BARCARENA / PA","0.55","27259","7833","0.29","3","2","0.662","4815194.00"
"BELÉM","PA","BELÉM / PA","0.59","372437","184656","0.5","1","1","0.746","30238484.00"
"BENEVIDES","PA","BENEVIDES / PA","0.53","9842","2480","0.25","4","4","0.665","1393885.00"
"BRAGANÇA","PA","BRAGANÇA / PA","0.59","7115","3331","0.47","1","3","0.6","1115895.00"
"BREVES","PA","BREVES / PA","0.62","7345","4682","0.64","1","3","0.503","743286.00"
"CAMETÁ","PA","CAMETÁ / PA","0.62","6045","4106","0.68","1","3","0.577","1183525.00"
"CANAÃ DOS CARAJÁS","PA","CANAÃ DOS CARAJÁS / PA","0.55","11393","3237","0.28","3","4","0.673","4087532.00"
"CAPANEMA","PA","CAPANEMA / PA","0.58","7409","3360","0.45","1","3","0.655","967351.00"
"CASTANHAL","PA","CASTANHAL / PA","0.55","31224","11652","0.37","3","1","0.673","3757159.00"
"ITAITUBA","PA","ITAITUBA / PA","0.58","11023","4507","0.41","1","3","0.64","1770652.00"
"JURUTI","PA","JURUTI / PA","0.58","6582","2257","0.34","1","4","0.592","1045817.00"
"MARABÁ","PA","MARABÁ / PA","0.57","46490","18232","0.39","2","1","0.668","8596000.00"
"MARITUBA","PA","MARITUBA / PA","0.56","13730","5423","0.39","3","3","0.676","1787967.00"
"MOJU","PA","MOJU / PA","0.46","7769","2214","0.28","5","4","0.547","892439.00"
"ORIXIMINÁ","PA","ORIXIMINÁ / PA","0.57","6253","2661","0.43","2","4","0.623","1700273.00"
"PARAGOMINAS","PA","PARAGOMINAS / PA","0.54","18159","6200","0.34","4","2","0.645","2949844.00"
"PARAUAPEBAS","PA","PARAUAPEBAS / PA","0.55","42250","14065","0.33","3","1","0.715","18431904.00"
"REDENÇÃO","PA","REDENÇÃO / PA","0.56","12391","5409","0.44","3","3","0.672","1699978.00"
"SANTARÉM","PA","SANTARÉM / PA","0.58","31584","14895","0.47","1","1","0.691","4835188.00"
"SÃO FÉLIX DO XINGU","PA","SÃO FÉLIX DO XINGU / PA","0.55","5621","3424","0.61","3","3","0.594","1392553.00"
"SÃO MIGUEL DO GUAMÁ","PA","SÃO MIGUEL DO GUAMÁ / PA","0.55","5248","1854","0.35","3","5","0.591","668079.00"
"TAILÂNDIA","PA","TAILÂNDIA / PA","0.46","11341","3252","0.29","5","3","0.588","846501.00"
"TOMÉ-AÇU","PA","TOMÉ-AÇU / PA","0.44","6634","1586","0.24","5","5","0.586","639356.00"
"TUCURUÍ","PA","TUCURUÍ / PA","0.6","10322","5161","0.5","1","3","0.666","6460221.00"
"XINGUARA","PA","XINGUARA / PA","0.54","8242","2736","0.33","4","4","0.646","1217202.00"
"BAYEUX","PB","BAYEUX / PB","0.56","8927","3835","0.43","3","3","0.649","1355756.00"
"CABEDELO","PB","CABEDELO / PB","0.57","17959","7173","0.4","2","2","0.748","2895223.00"
"CAJAZEIRAS","PB","CAJAZEIRAS / PB","0.58","7856","3863","0.49","1","3","0.679","1095981.00"
"CAMPINA GRANDE","PB","CAMPINA GRANDE / PB","0.57","100199","44270","0.44","2","1","0.72","8648690.00"
"GUARABIRA","PB","GUARABIRA / PB","0.55","9714","3638","0.37","3","3","0.673","947205.00"
"JOÃO PESSOA","PB","JOÃO PESSOA / PB","0.59","216143","104836","0.49","1","1","0.763","19737917.00"
"MAMANGUAPE","PB","MAMANGUAPE / PB","0.49","7416","2582","0.35","5","4","0.585","625132.00"
"PATOS","PB","PATOS / PB","0.58","14985","6636","0.44","1","2","0.701","1711982.00"
"PEDRAS DE FOGO","PB","PEDRAS DE FOGO / PB","0.5","5449","1968","0.36","5","5","0.59","425345.00"
"SANTA RITA","PB","SANTA RITA / PB","0.49","20943","5190","0.25","5","3","0.609","269333.00"
"SOUSA","PB","SOUSA / PB","0.56","9298","3402","0.37","3","3","0.668","1085479.00"
"ABREU E LIMA","PE","ABREU E LIMA / PE","0.55","9788","3737","0.38","3","3","0.679","2003665.00"
"ARARIPINA","PE","ARARIPINA / PE","0.6","6561","3811","0.58","1","3","0.602","987497.00"
"ARCOVERDE","PE","ARCOVERDE / PE","0.6","8306","4142","0.5","1","3","0.667","978164.00"
"BELO JARDIM","PE","BELO JARDIM / PE","0.52","11131","2615","0.23","5","4","0.629","1804833.00"
"BEZERROS","PE","BEZERROS / PE","0.58","5734","2337","0.41","1","4","0.606","711603.00"
"CABO DE SANTO AGOSTINHO","PE","CABO DE SANTO AGOSTINHO / PE","0.54","38824","13917","0.36","4","1","0.686","9964401.00"
"CAMARAGIBE","PE","CAMARAGIBE / PE","0.59","12206","6178","0.51","1","2","0.692","1757192.00"
"CARPINA","PE","CARPINA / PE","0.55","11293","5186","0.46","3","3","0.68","1318990.00"
"CARUARU","PE","CARUARU / PE","0.58","73060","33015","0.45","1","1","0.677","6877208.00"
"ESCADA","PE","ESCADA / PE","0.52","5839","2095","0.36","5","5","0.632","871161.00"
"GARANHUNS","PE","GARANHUNS / PE","0.58","19109","8689","0.45","1","2","0.664","2342967.00"
"GOIANA","PE","GOIANA / PE","0.52","21807","4565","0.21","5","3","0.651","9146860.00"
"GRAVATÁ","PE","GRAVATÁ / PE","0.58","8935","4481","0.5","1","3","0.634","1068949.00"
"IGARASSU","PE","IGARASSU / PE","0.49","19582","5010","0.26","5","3","0.665","2479117.00"
"IPOJUCA","PE","IPOJUCA / PE","0.52","31083","9292","0.3","5","2","0.619","10879739.00"
"ITAPISSUMA","PE","ITAPISSUMA / PE","0.52","5375","1201","0.22","5","5","0.633","1398050.00"
"JABOATÃO DOS GUARARAPES","PE","JABOATÃO DOS GUARARAPES / PE","0.56","106060","41895","0.4","3","1","0.717","13545569.00"
"LIMOEIRO","PE","LIMOEIRO / PE","0.59","6051","3171","0.52","1","4","0.663","743517.00"
"MORENO","PE","MORENO / PE","0.51","6341","2079","0.33","5","5","0.652","682663.00"
"OLINDA","PE","OLINDA / PE","0.58","73733","29508","0.4","1","1","0.735","5438691.00"
"PALMARES","PE","PALMARES / PE","0.6","6449","3599","0.56","1","3","0.622","833884.00"
"PAUDALHO","PE","PAUDALHO / PE","0.56","5005","2283","0.46","3","4","0.639","758422.00"
"PAULISTA","PE","PAULISTA / PE","0.59","31222","14360","0.46","1","1","0.587","119566.00"
"PESQUEIRA","PE","PESQUEIRA / PE","0.59","5253","2489","0.47","1","4","0.61","691973.00"
"PETROLINA","PE","PETROLINA / PE","0.5","69292","24213","0.35","5","1","0.697","5990719.00"
"RECIFE","PE","RECIFE / PE","0.6","613804","313426","0.51","1","1","0.772","51859618.00"
"RIO FORMOSO","PE","RIO FORMOSO / PE","0.34","7680","878","0.11","5","5","0.613","259945.00"
"SALGUEIRO","PE","SALGUEIRO / PE","0.59","6536","3228","0.49","1","4","0.669","792726.00"
"SANTA CRUZ DO CAPIBARIBE","PE","SANTA CRUZ DO CAPIBARIBE / PE","0.55","12570","4911","0.39","3","3","0.648","1428396.00"
"SÃO BENTO DO UNA","PE","SÃO BENTO DO UNA / PE","0.57","5597","3009","0.54","2","4","0.593","953039.00"
"SÃO LOURENÇO DA MATA","PE","SÃO LOURENÇO DA MATA / PE","0.6","8942","4523","0.51","1","3","0.653","1107308.00"
"SERRA TALHADA","PE","SERRA TALHADA / PE","0.57","10271","4094","0.4","2","3","0.661","1337330.00"
"SIRINHAÉM","PE","SIRINHAÉM / PE","0.39","8530","2031","0.24","5","5","0.597","482239.00"
"SURUBIM","PE","SURUBIM / PE","0.58","5668","2673","0.47","1","4","0.635","771791.00"
"TIMBAÚBA","PE","TIMBAÚBA / PE","0.54","5777","2487","0.43","4","4","0.618","647078.00"
"TORITAMA","PE","TORITAMA / PE","0.54","5496","1645","0.3","4","5","0.618","624447.00"
"VITÓRIA DE SANTO ANTÃO","PE","VITÓRIA DE SANTO ANTÃO / PE","0.5","22548","6354","0.28","5","2","0.64","3691943.00"
"FLORIANO","PI","FLORIANO / PI","0.58","9496","4186","0.44","1","3","0.7","1019283.00"
"PARNAÍBA","PI","PARNAÍBA / PI","0.58","20624","9894","0.48","1","2","0.687","2037540.00"
"PICOS","PI","PICOS / PI","0.58","12955","6191","0.48","1","2","0.698","1425586.00"
"PIRIPIRI","PI","PIRIPIRI / PI","0.58","5574","2344","0.42","1","4","0.635","657160.00"
"TERESINA","PI","TERESINA / PI","0.59","258465","131439","0.51","1","1","0.751","19113870.00"
"ALMIRANTE TAMANDARÉ","PR","ALMIRANTE TAMANDARÉ / PR","0.54","11869","4128","0.35","4","3","0.699","1522885.00"
"AMPÉRE","PR","AMPÉRE / PR","0.51","5231","1302","0.25","5","5","0.709","577536.00"
"APUCARANA","PR","APUCARANA / PR","0.54","32934","10920","0.33","4","2","0.748","3167647.00"
"ARAPONGAS","PR","ARAPONGAS / PR","0.53","34672","11046","0.32","4","2","0.748","4474057.00"
"ARAPOTI","PR","ARAPOTI / PR","0.51","6268","1953","0.31","5","5","0.723","1090916.00"
"ARAUCÁRIA","PR","ARAUCÁRIA / PR","0.54","41957","12278","0.29","4","1","0.74","16972345.00"
"ASSIS CHATEAUBRIAND","PR","ASSIS CHATEAUBRIAND / PR","0.56","5922","2677","0.45","3","4","0.729","1151649.00"
"ASTORGA","PR","ASTORGA / PR","0.52","5599","1771","0.32","5","5","0.747","721092.00"
"BANDEIRANTES","PR","BANDEIRANTES / PR","0.53","6404","2367","0.37","4","4","0.727","727355.00"
"CAFELÂNDIA","PR","CAFELÂNDIA / PR","0.53","9638","1955","0.2","4","5","0.742","468342.00"
"CAMBARÁ","PR","CAMBARÁ / PR","0.52","5316","1542","0.29","5","5","0.721","619295.00"
"CAMBÉ","PR","CAMBÉ / PR","0.55","22331","7391","0.33","3","2","0.734","3840715.00"
"CAMPINA GRANDE DO SUL","PR","CAMPINA GRANDE DO SUL / PR","0.59","8717","3707","0.43","1","3","0.718","1482914.00"
"CAMPO LARGO","PR","CAMPO LARGO / PR","0.56","28505","10656","0.37","3","2","0.745","4151593.00"
"CAMPO MOURÃO","PR","CAMPO MOURÃO / PR","0.56","25834","10474","0.41","3","2","0.757","3435760.00"
"CARAMBEÍ","PR","CARAMBEÍ / PR","0.5","7385","2015","0.27","5","5","0.728","1284427.00"
"CASCAVEL","PR","CASCAVEL / PR","0.56","102210","39710","0.39","3","1","0.646","895957.00"
"CASTRO","PR","CASTRO / PR","0.52","17728","6179","0.35","5","2","0.703","2658989.00"
"CIANORTE","PR","CIANORTE / PR","0.54","23164","7412","0.32","4","2","0.755","2716202.00"
"COLOMBO","PR","COLOMBO / PR","0.55","38917","13702","0.35","3","1","0.733","4733738.00"
"COLORADO","PR","COLORADO / PR","0.49","6871","1758","0.26","5","5","0.73","623367.00"
"CORNÉLIO PROCÓPIO","PR","CORNÉLIO PROCÓPIO / PR","0.56","15519","5238","0.34","3","3","0.759","1447867.00"
"CURITIBA","PR","CURITIBA / PR","0.57","851913","353670","0.42","2","1","0.823","84702357.00"
"DOIS VIZINHOS","PR","DOIS VIZINHOS / PR","0.55","10977","4405","0.4","3","3","0.767","1509718.00"
"FAZENDA RIO GRANDE","PR","FAZENDA RIO GRANDE / PR","0.56","16192","5996","0.37","3","2","0.72","2381558.00"
"FOZ DO IGUAÇU","PR","FOZ DO IGUAÇU / PR","0.59","64602","31842","0.49","1","1","0.751","13463838.00"
"FRANCISCO BELTRÃO","PR","FRANCISCO BELTRÃO / PR","0.56","23861","8861","0.37","3","2","0.774","3069186.00"
"GOIOERÊ","PR","GOIOERÊ / PR","0.56","5253","2212","0.42","3","4","0.731","815502.00"
"GUARAPUAVA","PR","GUARAPUAVA / PR","0.54","42695","14906","0.35","4","1","0.731","5606255.00"
"GUARATUBA","PR","GUARATUBA / PR","0.59","6462","3245","0.5","1","3","0.717","762614.00"
"IBAITI","PR","IBAITI / PR","0.53","5547","1901","0.34","4","5","0.71","649028.00"
"IBIPORÃ","PR","IBIPORÃ / PR","0.54","11933","3678","0.31","4","3","0.726","2437418.00"
"IMBITUVA","PR","IMBITUVA / PR","0.5","6451","1522","0.24","5","5","0.66","830628.00"
"IRATI","PR","IRATI / PR","0.55","11843","4296","0.36","3","3","0.726","1794165.00"
"IVAIPORÃ","PR","IVAIPORÃ / PR","0.59","5777","2925","0.51","1","4","0.73","755258.00"
"JACAREZINHO","PR","JACAREZINHO / PR","0.52","10237","3232","0.32","5","4","0.743","1178814.00"
"JAGUAPITÃ","PR","JAGUAPITÃ / PR","0.5","6027","1221","0.2","5","5","0.715","774453.00"
"JAGUARIAÍVA","PR","JAGUARIAÍVA / PR","0.53","8319","2396","0.29","4","4","0.743","1422343.00"
"JANDAIA DO SUL","PR","JANDAIA DO SUL / PR","0.53","5860","1861","0.32","4","5","0.747","657214.00"
"JOAQUIM TÁVORA","PR","JOAQUIM TÁVORA / PR","0.49","5101","864","0.17","5","5","0.7","607984.00"
"LAPA","PR","LAPA / PR","0.52","9272","3087","0.33","5","4","0.706","1879102.00"
"LARANJEIRAS DO SUL","PR","LARANJEIRAS DO SUL / PR","0.57","5255","2185","0.42","2","5","0.706","730423.00"
"LOANDA","PR","LOANDA / PR","0.53","5230","1793","0.34","4","5","0.725","534706.00"
"LONDRINA","PR","LONDRINA / PR","0.57","162911","69373","0.43","2","1","0.778","19235188.00"
"MANDAGUARI","PR","MANDAGUARI / PR","0.53","10500","2530","0.24","4","4","0.751","1540415.00"
"MARECHAL CÂNDIDO RONDON","PR","MARECHAL CÂNDIDO RONDON / PR","0.55","16609","5936","0.36","3","2","0.774","2199044.00"
"MARIALVA","PR","MARIALVA / PR","0.54","8070","2719","0.34","4","4","0.735","1446708.00"
"MARINGÁ","PR","MARINGÁ / PR","0.55","158349","55961","0.35","3","1","0.808","16906177.00"
"MATELÂNDIA","PR","MATELÂNDIA / PR","0.54","8749","1437","0.16","4","5","0.725","861730.00"
"MATINHOS","PR","MATINHOS / PR","0.6","6531","3383","0.52","1","3","0.743","746001.00"
"MEDIANEIRA","PR","MEDIANEIRA / PR","0.52","18061","5640","0.31","5","2","0.763","1822777.00"
"PAIÇANDU","PR","PAIÇANDU / PR","0.56","6537","2398","0.37","3","4","0.716","881681.00"
"PALMAS","PR","PALMAS / PR","0.51","11211","2805","0.25","5","4","0.788","8246273.00"
"PALMEIRA","PR","PALMEIRA / PR","0.52","7591","2255","0.3","5","4","0.718","1431277.00"
"PALOTINA","PR","PALOTINA / PR","0.54","14687","4654","0.32","4","3","0.768","2036253.00"
"PARANAGUÁ","PR","PARANAGUÁ / PR","0.55","39842","12422","0.31","3","1","0.75","9856374.00"
"PARANAVAÍ","PR","PARANAVAÍ / PR","0.55","22306","8326","0.37","3","2","0.763","2648763.00"
"PATO BRANCO","PR","PATO BRANCO / PR","0.56","28747","10613","0.37","3","2","0.782","3598922.00"
"PINHAIS","PR","PINHAIS / PR","0.55","41952","12686","0.3","3","1","0.751","5593790.00"
"PIRAQUARA","PR","PIRAQUARA / PR","0.6","7911","3965","0.5","1","3","0.7","1222237.00"
"PITANGA","PR","PITANGA / PR","0.55","5324","1958","0.37","3","5","0.702","815373.00"
"PONTA GROSSA","PR","PONTA GROSSA / PR","0.56","87843","33579","0.38","3","1","0.763","14533645.00"
"PONTAL DO PARANÁ","PR","PONTAL DO PARANÁ / PR","0.56","6598","2416","0.37","3","4","0.738","577860.00"
"PRUDENTÓPOLIS","PR","PRUDENTÓPOLIS / PR","0.56","6833","2737","0.4","3","4","0.676","1172168.00"
"QUATRO BARRAS","PR","QUATRO BARRAS / PR","0.52","8438","2010","0.24","5","5","0.742","1444058.00"
"QUEDAS DO IGUAÇU","PR","QUEDAS DO IGUAÇU / PR","0.52","5697","1627","0.29","5","5","0.681","1299512.00"
"RIO NEGRO","PR","RIO NEGRO / PR","0.54","7539","2372","0.31","4","4","0.76","1120053.00"
"ROLÂNDIA","PR","ROLÂNDIA / PR","0.52","19950","5354","0.27","5","3","0.739","2599072.00"
"SANTO ANTÔNIO DA PLATINA","PR","SANTO ANTÔNIO DA PLATINA / PR","0.54","10347","3995","0.39","4","3","0.718","1141374.00"
"SÃO JOSÉ DOS PINHAIS","PR","SÃO JOSÉ DOS PINHAIS / PR","0.53","90988","25976","0.29","4","1","0.758","22581192.00"
"SÃO MATEUS DO SUL","PR","SÃO MATEUS DO SUL / PR","0.55","7575","2745","0.36","3","4","0.719","1238165.00"
"SÃO MIGUEL DO IGUAÇU","PR","SÃO MIGUEL DO IGUAÇU / PR","0.55","5807","2390","0.41","3","4","0.704","942749.00"
"SARANDI","PR","SARANDI / PR","0.56","12246","4779","0.39","3","3","0.695","1456938.00"
"SIQUEIRA CAMPOS","PR","SIQUEIRA CAMPOS / PR","0.51","5928","1513","0.26","5","5","0.704","531653.00"
"TAPEJARA","PR","TAPEJARA / PR","0.44","5277","1073","0.2","5","5","0.703","484574.00"
"TELÊMACO BORBA","PR","TELÊMACO BORBA / PR","0.52","20210","5587","0.28","5","2","0.734","3836532.00"
"TOLEDO","PR","TOLEDO / PR","0.55","50736","15560","0.31","3","1","0.661","88788.00"
"UBIRATÃ","PR","UBIRATÃ / PR","0.54","6758","1787","0.26","4","5","0.739","865013.00"
"UMUARAMA","PR","UMUARAMA / PR","0.57","29750","12938","0.43","2","1","0.761","3284406.00"
"UNIÃO DA VITÓRIA","PR","UNIÃO DA VITÓRIA / PR","0.56","13748","4938","0.36","3","3","0.74","1530300.00"
"ANGRA DOS REIS","RJ","ANGRA DOS REIS / RJ","0.59","32259","14669","0.45","1","1","0.724","10099365.00"
"ARARUAMA","RJ","ARARUAMA / RJ","0.58","16990","7809","0.46","1","2","0.718","2514577.00"
"ARMAÇÃO DOS BÚZIOS","RJ","ARMAÇÃO DOS BÚZIOS / RJ","0.6","12380","6236","0.5","1","2","0.728","1712328.00"
"BARRA DO PIRAÍ","RJ","BARRA DO PIRAÍ / RJ","0.58","15545","6793","0.44","1","2","0.733","2026188.00"
"BARRA MANSA","RJ","BARRA MANSA / RJ","0.57","32016","13176","0.41","2","1","0.729","4883051.00"
"BELFORD ROXO","RJ","BELFORD ROXO / RJ","0.58","31897","14021","0.44","1","1","0.684","8187373.00"
"CABO FRIO","RJ","CABO FRIO / RJ","0.6","44476","24723","0.56","1","1","0.735","8593977.00"
"CACHOEIRAS DE MACACU","RJ","CACHOEIRAS DE MACACU / RJ","0.57","7590","3277","0.43","2","3","0.7","965890.00"
"CASIMIRO DE ABREU","RJ","CASIMIRO DE ABREU / RJ","0.61","6230","3076","0.49","1","4","0.726","1370025.00"
"GUAPIMIRIM","RJ","GUAPIMIRIM / RJ","0.59","5277","2505","0.47","1","4","0.698","920921.00"
"ITABORAÍ","RJ","ITABORAÍ / RJ","0.59","28046","13293","0.47","1","1","0.693","4186080.00"
"ITAPERUNA","RJ","ITAPERUNA / RJ","0.58","21564","9820","0.46","1","2","0.73","2705103.00"
"ITATIAIA","RJ","ITATIAIA / RJ","0.56","9297","3072","0.33","3","4","0.737","4361237.00"
"JAPERI","RJ","JAPERI / RJ","0.59","6597","2969","0.45","1","4","0.659","1615348.00"
"MACAÉ","RJ","MACAÉ / RJ","0.56","112038","34936","0.31","3","1","0.764","15371353.00"
"MAGÉ","RJ","MAGÉ / RJ","0.58","19685","9532","0.48","1","2","0.709","3855803.00"
"MANGARATIBA","RJ","MANGARATIBA / RJ","0.59","5620","2317","0.41","1","4","0.753","3599066.00"
"MARICÁ","RJ","MARICÁ / RJ","0.58","21527","9204","0.43","1","2","0.765","11438880.00"
"NITERÓI","RJ","NITERÓI / RJ","0.6","159796","81938","0.51","1","1","0.837","27471324.00"
"NOVA FRIBURGO","RJ","NOVA FRIBURGO / RJ","0.56","50147","18990","0.38","3","1","0.745","5014316.00"
"PARACAMBI","RJ","PARACAMBI / RJ","0.57","5222","2150","0.41","2","5","0.72","892884.00"
"PARAÍBA DO SUL","RJ","PARAÍBA DO SUL / RJ","0.57","8719","3741","0.43","2","3","0.702","931047.00"
"PARATY","RJ","PARATY / RJ","0.6","8373","4286","0.51","1","3","0.693","1590363.00"
"PETRÓPOLIS","RJ","PETRÓPOLIS / RJ","0.58","69633","30081","0.43","1","1","0.745","12811831.00"
"PIRAÍ","RJ","PIRAÍ / RJ","0.57","7787","2851","0.37","2","4","0.708","1857213.00"
"PORTO REAL","RJ","PORTO REAL / RJ","0.51","8107","1489","0.18","5","5","0.713","2856764.00"
"QUEIMADOS","RJ","QUEIMADOS / RJ","0.57","15425","7064","0.46","2","2","0.68","3703990.00"
"RESENDE","RJ","RESENDE / RJ","0.56","36158","13524","0.37","3","1","0.768","7731527.00"
"RIO BONITO","RJ","RIO BONITO / RJ","0.57","17379","6593","0.38","2","2","0.71","1600478.00"
"RIO DAS OSTRAS","RJ","RIO DAS OSTRAS / RJ","0.58","24557","10478","0.43","1","2","0.773","5597722.00"
"SANTO ANTÔNIO DE PÁDUA","RJ","SANTO ANTÔNIO DE PÁDUA / RJ","0.56","7808","3214","0.41","3","4","0.718","1049371.00"
"SÃO GONÇALO","RJ","SÃO GONÇALO / RJ","0.6","104938","51875","0.49","1","1","0.739","17225904.00"
"SÃO JOÃO DA BARRA","RJ","SÃO JOÃO DA BARRA / RJ","0.56","10473","3222","0.31","3","4","0.671","4688058.00"
"SÃO PEDRO DA ALDEIA","RJ","SÃO PEDRO DA ALDEIA / RJ","0.58","12533","5697","0.45","1","2","0.712","2158707.00"
"SAQUAREMA","RJ","SAQUAREMA / RJ","0.6","11925","6096","0.51","1","2","0.709","2092721.00"
"TERESÓPOLIS","RJ","TERESÓPOLIS / RJ","0.58","35165","15738","0.45","1","1","0.73","5085014.00"
"TRÊS RIOS","RJ","TRÊS RIOS / RJ","0.56","21374","8081","0.38","3","2","0.725","3714351.00"
"VALENÇA","RJ","VALENÇA / RJ","0.57","11500","4669","0.41","2","3","0.623","1435290.00"
"VASSOURAS","RJ","VASSOURAS / RJ","0.61","7077","3478","0.49","1","3","0.714","918199.00"
"VOLTA REDONDA","RJ","VOLTA REDONDA / RJ","0.58","71116","28363","0.4","1","1","0.771","11304596.00"
"SEROPÉDICA","RJ","SEROPÉDICA / RJ","0.56","13946","5624","0.4","3","2","0.713","4210874.00"
"SÃO JOÃO DE MERITI","RJ","SÃO JOÃO DE MERITI / RJ","0.59","54792","27801","0.51","1","1","0.719","9194527.00"
"NILÓPOLIS","RJ","NILÓPOLIS / RJ","0.62","18122","10273","0.57","1","2","0.753","2643916.00"
"DUQUE DE CAXIAS","RJ","DUQUE DE CAXIAS / RJ","0.58","142998","61310","0.43","1","1","0.711","40892161.00"
"ITAGUAÍ","RJ","ITAGUAÍ / RJ","0.57","25901","10122","0.39","2","2","0.715","7564819.00"
"MESQUITA","RJ","MESQUITA / RJ","0.59","12187","5473","0.45","1","3","0.656","45480.00"
"NOVA IGUAÇU","RJ","NOVA IGUAÇU / RJ","0.6","96985","50419","0.52","1","1","0.713","16833644.00"
"RIO DE JANEIRO","RJ","RIO DE JANEIRO / RJ","0.59","2106048","966484","0.46","1","1","0.799","337594462.00"
"BOM JESUS DO ITABAPOANA","RJ","BOM JESUS DO ITABAPOANA / RJ","0.59","6046","3227","0.53","1","4","0.732","727922.00"
"CAMPOS DOS GOYTACAZES","RJ","CAMPOS DOS GOYTACAZES / RJ","0.6","83224","42644","0.51","1","1","0.716","21088777.00"
"CAICÓ","RN","CAICÓ / RN","0.57","9807","4279","0.44","2","3","0.71","1145089.00"
"CEARÁ-MIRIM","RN","CEARÁ-MIRIM / RN","0.56","5906","2334","0.4","3","4","0.616","808622.00"
"CURRAIS NOVOS","RN","CURRAIS NOVOS / RN","0.58","5316","2161","0.41","1","5","0.691","721841.00"
"MACAÍBA","RN","MACAÍBA / RN","0.52","9086","2130","0.23","5","5","0.64","1479244.00"
"MOSSORÓ","RN","MOSSORÓ / RN","0.55","58249","24638","0.42","3","1","0.72","6166119.00"
"NATAL","RN","NATAL / RN","0.59","266112","134322","0.5","1","1","0.763","23454683.00"
"PARNAMIRIM","RN","PARNAMIRIM / RN","0.57","39641","17313","0.44","2","1","0.766","5022894.00"
"SÃO GONÇALO DO AMARANTE","RN","SÃO GONÇALO DO AMARANTE / RN","0.58","15277","8084","0.53","1","2","0.665","3081374.00"
"SÃO JOSÉ DE MIPIBU","RN","SÃO JOSÉ DE MIPIBU / RN","0.55","5556","2145","0.39","3","5","0.611","762405.00"
"ARIQUEMES","RO","ARIQUEMES / RO","0.56","15967","6678","0.42","3","2","0.702","2296074.00"
"CACOAL","RO","CACOAL / RO","0.56","17645","7079","0.4","3","2","0.718","2127523.00"
"JARU","RO","JARU / RO","0.56","9747","3518","0.36","3","3","0.689","1413628.00"
"JI-PARANÁ","RO","JI-PARANÁ / RO","0.56","28621","10857","0.38","3","2","0.714","3026759.00"
"OURO PRETO DO OESTE","RO","OURO PRETO DO OESTE / RO","0.58","5283","2319","0.44","1","4","0.682","777713.00"
"PIMENTA BUENO","RO","PIMENTA BUENO / RO","0.54","9506","3065","0.32","4","4","0.71","1076411.00"
"PORTO VELHO","RO","PORTO VELHO / RO","0.53","152285","47567","0.31","4","1","0.736","16514535.00"
"ROLIM DE MOURA","RO","ROLIM DE MOURA / RO","0.55","11017","3679","0.33","3","3","0.7","1297525.00"
"VILHENA","RO","VILHENA / RO","0.55","20565","7660","0.37","3","2","0.731","2555582.00"
"BOA VISTA","RR","BOA VISTA / RR","0.59","82598","48201","0.58","1","1","0.752","8939317.00"
"ALEGRETE","RS","ALEGRETE / RS","0.56","13640","6176","0.45","3","2","0.74","2019527.00"
"ALVORADA","RS","ALVORADA / RS","0.56","14445","5526","0.38","3","3","0.708","325873.00"
"ARROIO DO MEIO","RS","ARROIO DO MEIO / RS","0.52","6899","1694","0.25","5","5","0.769","1058560.00"
"BAGÉ","RS","BAGÉ / RS","0.58","21845","10485","0.48","1","2","0.74","3006499.00"
