"title","state","description","impact_percentage","workers_total","workers_risk","workers_risk_percentage","risk_level","workers_risk_level","idhm","pib"
"BETIM","MG","BETIM / MG","0.54","104230","31565","0.3","4","1","0.749","23088153.00"
"BOA ESPERANÇA","MG","BOA ESPERANÇA / MG","0.52","7157","2793","0.39","5","4","0.704","833111.00"
"BOCAIÚVA","MG","BOCAIÚVA / MG","0.54","7619","2653","0.35","4","4","0.7","797235.00"
"BOM DESPACHO","MG","BOM DESPACHO / MG","0.54","11131","4274","0.38","4","3","0.75","1211510.00"
"BRUMADINHO","MG","BRUMADINHO / MG","0.55","9427","2958","0.31","3","4","0.747","1988403.00"
"CAETÉ","MG","CAETÉ / MG","0.57","5032","2027","0.4","2","5","0.728","577870.00"
"CAMANDUCAIA","MG","CAMANDUCAIA / MG","0.55","5253","1809","0.34","3","5","0.689","605887.00"
"CAMBUÍ","MG","CAMBUÍ / MG","0.54","6705","2161","0.32","4","5","0.751","1348085.00"
"CAMPO BELO","MG","CAMPO BELO / MG","0.54","10143","3527","0.35","4","3","0.711","983869.00"
"CAPELINHA","MG","CAPELINHA / MG","0.54","5856","2002","0.34","4","5","0.653","605890.00"
"CARANGOLA","MG","CARANGOLA / MG","0.6","5171","2615","0.51","1","4","0.695","516515.00"
"CARATINGA","MG","CARATINGA / MG","0.57","17160","7243","0.42","2","2","0.706","1608693.00"
"CARMO DO PARANAÍBA","MG","CARMO DO PARANAÍBA / MG","0.54","5386","2288","0.42","4","4","0.705","737380.00"
"CATAGUASES","MG","CATAGUASES / MG","0.56","15586","5944","0.38","3","2","0.751","1579995.00"
"CLÁUDIO","MG","CLÁUDIO / MG","0.5","8654","1934","0.22","5","5","0.709","656478.00"
"CONCEIÇÃO DAS ALAGOAS","MG","CONCEIÇÃO DAS ALAGOAS / MG","0.51","5031","1333","0.26","5","5","0.712","844041.00"
"CONCEIÇÃO DO MATO DENTRO","MG","CONCEIÇÃO DO MATO DENTRO / MG","0.53","5900","1521","0.26","4","5","0.634","810999.00"
"CONFINS","MG","CONFINS / MG","0.58","6220","2759","0.44","1","4","0.747","1058291.00"
"CONGONHAS","MG","CONGONHAS / MG","0.55","16903","4723","0.28","3","3","0.753","1646174.00"
"CONSELHEIRO LAFAIETE","MG","CONSELHEIRO LAFAIETE / MG","0.59","20525","10131","0.49","1","2","0.761","2125977.00"
"CONTAGEM","MG","CONTAGEM / MG","0.54","186227","57857","0.31","4","1","0.756","28988053.00"
"COROMANDEL","MG","COROMANDEL / MG","0.5","5589","1778","0.32","5","5","0.708","885184.00"
"CORONEL FABRICIANO","MG","CORONEL FABRICIANO / MG","0.58","14887","6921","0.46","1","2","0.755","1648593.00"
"CURVELO","MG","CURVELO / MG","0.54","16555","5677","0.34","4","2","0.713","1480513.00"
"DIAMANTINA","MG","DIAMANTINA / MG","0.59","9024","3987","0.44","1","3","0.716","725681.00"
"DIVINÓPOLIS","MG","DIVINÓPOLIS / MG","0.56","56685","22780","0.4","3","1","0.764","6036935.00"
"ELÓI MENDES","MG","ELÓI MENDES / MG","0.51","5206","1662","0.32","5","5","0.685","593370.00"
"ESMERALDAS","MG","ESMERALDAS / MG","0.57","6359","2897","0.46","2","4","0.671","676032.00"
"EXTREMA","MG","EXTREMA / MG","0.5","22124","3875","0.18","5","3","0.732","7529547.00"
"FORMIGA","MG","FORMIGA / MG","0.55","18050","7086","0.39","3","2","0.755","1620086.00"
"FRUTAL","MG","FRUTAL / MG","0.52","12140","4293","0.35","5","3","0.73","1842323.00"
"GOVERNADOR VALADARES","MG","GOVERNADOR VALADARES / MG","0.57","54254","24016","0.44","2","1","0.727","5886910.00"
"GUANHÃES","MG","GUANHÃES / MG","0.53","6307","2118","0.34","4","5","0.686","617546.00"
"GUAXUPÉ","MG","GUAXUPÉ / MG","0.53","13341","4654","0.35","4","3","0.751","1914080.00"
"IBIRITÉ","MG","IBIRITÉ / MG","0.56","16328","6045","0.37","3","2","0.704","2170053.00"
"IGARAPÉ","MG","IGARAPÉ / MG","0.56","5779","2342","0.41","3","4","0.698","648111.00"
"IPATINGA","MG","IPATINGA / MG","0.56","67323","24400","0.36","3","1","0.771","9662783.00"
"ITABIRA","MG","ITABIRA / MG","0.57","26365","10314","0.39","2","2","0.756","5220378.00"
"ITABIRITO","MG","ITABIRITO / MG","0.55","14370","4728","0.33","3","3","0.73","3938104.00"
"ITAJUBÁ","MG","ITAJUBÁ / MG","0.55","23562","8672","0.37","3","2","0.787","3010826.00"
"ITAÚNA","MG","ITAÚNA / MG","0.54","25647","8065","0.31","4","2","0.758","3028868.00"
"ITUIUTABA","MG","ITUIUTABA / MG","0.55","20115","8197","0.41","3","2","0.739","2895226.00"
"ITURAMA","MG","ITURAMA / MG","0.53","9845","3486","0.35","4","3","0.747","1725281.00"
"JACUTINGA","MG","JACUTINGA / MG","0.5","6663","1687","0.25","5","5","0.715","633780.00"
"JAÍBA","MG","JAÍBA / MG","0.42","6501","1313","0.2","5","5","0.638","555399.00"
"JANAÚBA","MG","JANAÚBA / MG","0.55","10984","4428","0.4","3","3","0.696","1096609.00"
"JANUÁRIA","MG","JANUÁRIA / MG","0.58","5132","2424","0.47","1","4","0.658","676244.00"
"JOÃO MONLEVADE","MG","JOÃO MONLEVADE / MG","0.55","18371","6103","0.33","3","2","0.758","2589634.00"
"JOÃO PINHEIRO","MG","JOÃO PINHEIRO / MG","0.49","13112","3241","0.25","5","3","0.697","1461889.00"
"JUATUBA","MG","JUATUBA / MG","0.54","6393","2095","0.33","4","5","0.717","1201845.00"
"JUIZ DE FORA","MG","JUIZ DE FORA / MG","0.58","143695","65630","0.46","1","1","0.778","15985712.00"
"LAGOA DA PRATA","MG","LAGOA DA PRATA / MG","0.53","11928","3845","0.32","4","3","0.732","1631037.00"
"LAGOA SANTA","MG","LAGOA SANTA / MG","0.57","13088","5329","0.41","2","3","0.777","1661110.00"
