"name","workers","workers_risk","workers_risk_percentage","score","group","group_color"
"Edição integrada à impressão de revistas","1927","457","23.71562013492475","48.97457187337832","Informação e Comunicação","#f58742"
"Edição integrada à impressão de cadastros, listas e de outros produtos gráficos","14340","2598","18.11715481171548","46.62498837749889","Informação e Comunicação","#f58742"
"Atividades de produção cinematográfica, de vídeos e de programas de televisão","9200","2422","26.32608695652174","50.9400724637681","Informação e Comunicação","#f58742"
"Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão","1418","345","24.33004231311707","51.62529384109076","Informação e Comunicação","#f58742"
"Distribuição cinematográfica, de vídeo e de programas de televisão","716","161","22.48603351955307","49.48324022346369","Informação e Comunicação","#f58742"
"Atividades de exibição cinematográfica","14623","8736","59.74150311153662","58.910483484921016","Informação e Comunicação","#f58742"
"Atividades de gravação de som e de edição de música","1845","551","29.864498644986448","52.63775971093041","Informação e Comunicação","#f58742"
"Atividades de rádio","34888","6194","17.753955514790185","52.25056370862953","Informação e Comunicação","#f58742"
"Atividades de televisão aberta","47868","6593","13.77329322303","49.90578953232506","Informação e Comunicação","#f58742"
"Programadoras e atividades relacionadas à televisão por assinatura","3272","477","14.578239608801958","48.84820700896497","Informação e Comunicação","#f58742"
"Telecomunicações por fio","91408","37436","40.95483983896377","53.69869158060566","Informação e Comunicação","#f58742"
"Telecomunicações sem fio","39813","15076","37.86702835757165","54.57779284823213","Informação e Comunicação","#f58742"
"Telecomunicações por satélite","1837","380","20.685900925421883","51.30792959535475","Informação e Comunicação","#f58742"
"Operadoras de televisão por assinatura por cabo","3302","1529","46.30526953361599","55.85968100141328","Informação e Comunicação","#f58742"
"Operadoras de televisão por assinatura por microondas","12","9","75","63.25000000000001","Informação e Comunicação","#f58742"
"Operadoras de televisão por assinatura por satélite","418","174","41.62679425837321","53.82695374800639","Informação e Comunicação","#f58742"
"Outras atividades de telecomunicações","59469","23746","39.93004758781886","54.70652496819067","Informação e Comunicação","#f58742"
"Desenvolvimento de programas de computador sob encomenda","98127","11529","11.749059891772905","47.62274059806842","Informação e Comunicação","#f58742"
"Desenvolvimento e licenciamento de programas de computador customizáveis","50740","6903","13.604651162790699","48.10042044409408","Informação e Comunicação","#f58742"
"Desenvolvimento e licenciamento de programas de computador não-customizáveis","47593","6257","13.146891349568213","48.32608436814942","Informação e Comunicação","#f58742"
"Consultoria em tecnologia da informação","77365","14873","19.22445550313449","49.36480320558391","Informação e Comunicação","#f58742"
"Suporte técnico, manutenção e outros serviços em tecnologia da informação","95815","23872","24.914679329958776","51.31233105463655","Informação e Comunicação","#f58742"
"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet","56698","16956","29.9058167836608","52.00316883605536","Informação e Comunicação","#f58742"
"Portais, provedores de conteúdo e outros serviços de informação na internet","23500","7162","30.47659574468085","50.71058156028372","Informação e Comunicação","#f58742"
"Agências de notícias","1294","244","18.856259659969087","50.68418341061312","Informação e Comunicação","#f58742"
"Outras atividades de prestação de serviços de informação não especificadas anteriormente","10350","3953","38.193236714975846","54.08434782608691","Informação e Comunicação","#f58742"
"Banco Central","3748","16","0.42689434364994666","45.42164710067591","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Bancos comerciais","4571","162","3.54408225771166","45.8788740611099","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Bancos múltiplos, com carteira comercial","358891","74329","20.710745045152983","49.59808874189283","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Caixas econômicas","84299","28249","33.51048055137071","51.2217543110436","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Crédito cooperativo","70294","36428","51.822346146186014","55.95190675353995","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Bancos múltiplos, sem carteira comercial","4901","834","17.016935319322588","49.0712779704822","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Bancos de investimento","614","102","16.612377850162865","48.152008686210635","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Bancos de desenvolvimento","3548","319","8.990980834272829","47.303081548290116","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Agências de fomento","1526","406","26.605504587155966","50.383355176933186","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Crédito imobiliário","1572","752","47.837150127226465","55.935962680237516","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Sociedades de crédito, financiamento e investimento - financeiras","7152","1426","19.938478747203582","46.71555741983596","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Sociedades de crédito ao microempreendedor","622","139","22.347266881028936","51.48821007502677","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Bancos de câmbio e outras instituições de intermediação não-monetária","157","20","12.738853503184714","46.02123142250532","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Arrendamento mercantil","296","62","20.945945945945947","48.731981981981974","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Sociedades de capitalização","1178","254","21.561969439728355","49.87662705149976","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Holdings de instituições financeiras","381","45","11.811023622047244","52.74103237095363","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Holdings de instituições não-financeiras","37298","9750","26.140811839776934","50.697213434143066","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Outras sociedades de participação, exceto holdings","8061","2043","25.344250093040564","50.64264152503822","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Fundos de investimento","34","24","70.58823529411765","57.24509803921569","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Sociedades de fomento mercantil - factoring","5036","2736","54.32883240667196","55.15971670638071","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Securitização de créditos","1249","564","45.15612489991994","53.29143314651722","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Administração de consórcios para aquisição de bens e direitos","11375","3543","31.147252747252747","54.11238095238093","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Outras atividades de serviços financeiros não especificadas anteriormente","3838","1328","34.60135487232934","52.23414973076257","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Seguros de vida","13417","4596","34.25504956398599","52.52147772726139","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Seguros não-vida","33941","7990","23.540850299048348","50.10548697249154","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Seguros-saúde","5993","2019","33.68930418821959","53.2201457255687","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Resseguros","778","100","12.853470437017995","47.05269922879178","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Previdência complementar fechada","7596","2944","38.75724065297525","53.14564683166575","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Previdência complementar aberta","2419","697","28.8135593220339","51.046713517982646","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Planos de saúde","98160","62831","64.00876120619397","62.03007334963322","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Administração de bolsas e mercados de balcão organizados","1765","140","7.932011331444759","45.87157695939565","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Atividades de intermediários em transações de títulos, valores mobiliários e mercadorias","11704","2910","24.863294600136708","49.423501936659825","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Administração de cartões de crédito","11097","3270","29.467423628007573","50.9449400738938","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Atividades auxiliares dos serviços financeiros não especificadas anteriormente","21490","9169","42.666356444858074","52.51341709322161","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Avaliação de riscos e perdas","2750","930","33.81818181818182","52.614181818181805","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Corretores e agentes de seguros, de planos de previdência complementar e de saúde","57267","28180","49.20809541271588","54.99807917299672","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente","5047","2155","42.69863285119873","54.06875371507825","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Atividades de administração de fundos por contrato ou comissão","4084","905","22.159647404505385","47.65515834149529","Atividades Financeiras, Seguros e Serviços Relacionados","#f5e642"
"Atividades imobiliárias de imóveis próprios","44740","14907","33.31917746982566","54.20797943674558","Atividades Imobiliárias","#9000ff"
"Intermediação na compra, venda e aluguel de imóveis","50633","31701","62.609365433610485","57.225090356091854","Atividades Imobiliárias","#9000ff"
"Gestão e administração da propriedade imobiliária","54984","29997","54.555870798777825","57.025759008681334","Atividades Imobiliárias","#9000ff"
"Atividades jurídicas, exceto cartórios","91864","44049","47.95023077592964","53.919685622224144","Atividades Profissionais, Científicas e Técnicas","#8debe0"
"Cartórios","77415","35239","45.51960214428728","55.63844216237167","Atividades Profissionais, Científicas e Técnicas","#8debe0"
"Atividades de contabilidade, consultoria e auditoria contábil e tributária","288759","112194","38.85385390585229","51.942280586925435","Atividades Profissionais, Científicas e Técnicas","#8debe0"
"Atividades de consultoria em gestão empresarial","102841","27767","26.99993193376183","50.80127251452878","Atividades Profissionais, Científicas e Técnicas","#8debe0"
"Serviços de arquitetura","7357","1745","23.718907163245888","50.808753568030475","Atividades Profissionais, Científicas e Técnicas","#8debe0"
"Serviços de engenharia","174362","27080","15.530906963673278","50.39654473642946","Atividades Profissionais, Científicas e Técnicas","#8debe0"
"Atividades técnicas relacionadas à arquitetura e engenharia","32441","6390","19.697296630806697","50.241248214707745","Atividades Profissionais, Científicas e Técnicas","#8debe0"
"Testes e análises técnicas","26894","5195","19.316576187997324","50.39216925708339","Atividades Profissionais, Científicas e Técnicas","#8debe0"
